placeId,lang,name,wikidataId,OSMRId,OSMLatLon,nature,comments
69,fre,Provence,Q101081,70279,"43.5298424, 5.4474738",real,"LatLon of Aix-en-Provence, ex-capital of Provence"
70,fre,Toulouse,Q7880,35738,"43.6044622, 1.4442469",real,
71,fre,Lyon,Q456,120965,"45.7578137, 4.8320114",real,
72,fre,Syrie,Q858,184840,"34.6401861, 39.0494106",real,
73,fre,Vosges,Q3105,14218398,"48.163786, 6.3820712",real,
74,fre,Écosse,Q22,58446,"56.7861112, -4.1140518",real,
75,fre,sur la route,,,,fictional,
76,fre,Brunoy,Q212541,114189,"48.6979312, 2.5044613",real,
77,fre,Alger,Q3561,299617915,"36.7753606, 3.0601882",real,
78,fre,Bolbec,Q680286,107008,"49.5739091, 0.4742448",real,
79,fre,Nuremberg,Q2090,62780,"49.453872, 11.077298",real,
80,fre,Châlons-sur-Marne,Q47135,417365,"48.9566218, 4.3628851",real,city now called Châlons-en-Champagne
81,fre,Marseille,Q23482,76469,"43.2961743, 5.3699525",real,
82,fre,Compiègne ,Q180871,195340,"49.4179497, 2.8263171",real,
83,fre,Vendôme,Q214575,276769,"47.7934453, 1.0662256",real,
84,fre,Landerneau,Q325946,547854,"48.4514803, -4.2557901",real,
85,fre,Abbeville,Q28520,114349,"50.1060835, 1.8337029",real,
86,fre,Boulogne-sur-Seine,Q172455,72020,"48.8356649, 2.240206",real,city now called Boulogne-Billancourt
87,fre,Maloja,Q669477,2018281,"46.491072, 9.8865704",real,Switzerland
88,fre,Monte-Carlo,Q45240,5986438,"43.7402961, 7.426559",real,
89,fre,Dieppe,Q183557,110435,"49.9246182, 1.0791444",real,
90,fre,Choisy,Q301469,103853,"45.9926863, 6.057783",real,
91,fre,Fontainebleau,Q182872,216359,"48.4049375, 2.7015872",real,
92,fre,Athènes,Q1524,441183,"37.9755648, 23.7348324",real,
93,fre,Naples,Q2634,40767,"40.8358846, 14.2487679",real,
94,fre,théâtre de l’Ambigu-Comique,Q94993752,17264452,"48.8637853, 2.3663347",real,
95,fre,Dijon,Q7003,74090,"47.3215806, 5.0414701",real,
96,fre,Tours,Q288,76306,"47.3900474, 0.6889268",real,
97,fre,Nord de la France,Q18677767,4217435,"50.6365654, 3.0635282",real,suits the region Hauts-de-France
98,fre,Bois de Vincennes,Q271639,142107768,"48.831548, 2.4341479",real,
99,fre,Vincennes,Q193819,108346,"48.8474508, 2.4396714",real,
100,fre,les Enfers,Q564,,,fictional,
101,fre,un jardin,,,,fictional,
102,fre,Honfleur,Q231720,126415,"49.4197222, 0.2338889",real,
